排名,中文名,英文名,标签,地址,行业,分数,办学层次,Logo
1,清华大学,Tsinghua University,双一流/985/211,北京,综合,992.6,36.1,https://www.shanghairanking.cn/_uni/logo/27532357.png
2,北京大学,Peking University,双一流/985/211,北京,综合,898.6,34.9,https://www.shanghairanking.cn/_uni/logo/86350223.png
3,浙江大学,Zhejiang University,双一流/985/211,浙江,综合,793.8,34.9,https://www.shanghairanking.cn/_uni/logo/88311656.png
4,上海交通大学,Shanghai Jiao Tong University,双一流/985/211,上海,综合,776.3,35.6,https://www.shanghairanking.cn/_uni/logo/27403919.png
5,复旦大学,Fudan University,双一流/985/211,上海,综合,697.0,36.6,https://www.shanghairanking.cn/_uni/logo/28312850.png
6,南京大学,Nanjing University,双一流/985/211,江苏,综合,656.1,37.1,https://www.shanghairanking.cn/_uni/logo/44696062.png
7,中国科学技术大学,University of Science and Technology of China,双一流/985/211,安徽,理工,578.4,40.0,https://www.shanghairanking.cn/_uni/logo/50132214.png
8,华中科技大学,Huazhong University of Science and Technology,双一流/985/211,湖北,综合,578.0,32.2,https://www.shanghairanking.cn/_uni/logo/69664504.png
9,武汉大学,Wuhan University,双一流/985/211,湖北,综合,577.3,31.7,https://www.shanghairanking.cn/_uni/logo/46182017.png
10,西安交通大学,Xi'an Jiaotong University,双一流/985/211,陕西,综合,566.4,34.6,https://www.shanghairanking.cn/_uni/logo/77584005.png
11,中山大学,Sun Yat-sen University,双一流/985/211,广东,综合,539.6,32.0,https://www.shanghairanking.cn/_uni/logo/46293852.png
12,北京航空航天大学,Beihang University,双一流/985/211,北京,理工,537.2,33.1,https://www.shanghairanking.cn/_uni/logo/22403670.png
13,东南大学,Southeast University,双一流/985/211,江苏,综合,530.7,34.6,https://www.shanghairanking.cn/_uni/logo/82819451.png
14,北京理工大学,Beijing Institute of Technology,双一流/985/211,北京,理工,530.2,33.6,https://www.shanghairanking.cn/_uni/logo/85386135.png
15,四川大学,Sichuan University,双一流/985/211,四川,综合,527.9,30.0,https://www.shanghairanking.cn/_uni/logo/75651370.png
16,哈尔滨工业大学,Harbin Institute of Technology,双一流/985/211,黑龙江,理工,514.1,32.6,https://www.shanghairanking.cn/_uni/logo/88331082.png
17,同济大学,Tongji University,双一流/985/211,上海,综合,509.6,35.2,https://www.shanghairanking.cn/_uni/logo/39174907.png
18,中国人民大学,Renmin University of China,双一流/985/211,北京,综合,508.3,34.3,https://www.shanghairanking.cn/_uni/logo/88617939.png
19,北京师范大学,Beijing Normal University,双一流/985/211,北京,师范,501.4,32.1,https://www.shanghairanking.cn/_uni/logo/38816505.png
20,天津大学,Tianjin University,双一流/985/211,天津,理工,491.5,33.1,https://www.shanghairanking.cn/_uni/logo/74813674.png
21,南开大学,Nankai University,双一流/985/211,天津,综合,481.8,31.8,https://www.shanghairanking.cn/_uni/logo/44629152.png
22,山东大学,Shandong University,双一流/985/211,山东,综合,476.3,29.7,https://www.shanghairanking.cn/_uni/logo/97189370.png
23,西北工业大学,Northwestern Polytechnical University,双一流/985/211,陕西,理工,459.9,33.4,https://www.shanghairanking.cn/_uni/logo/20384817.png
24,厦门大学,Xiamen University,双一流/985/211,福建,综合,458.2,32.1,https://www.shanghairanking.cn/_uni/logo/14008229.png
25,中南大学,Central South University,双一流/985/211,湖南,综合,456.1,30.6,https://www.shanghairanking.cn/_uni/logo/65984093.png
26,吉林大学,Jilin University,双一流/985/211,吉林,综合,443.7,30.5,https://www.shanghairanking.cn/_uni/logo/76557044.png
27,中国农业大学,China Agricultural University,双一流/985/211,北京,农业,440.6,31.5,https://www.shanghairanking.cn/_uni/logo/48410070.png
28,大连理工大学,Dalian University of Technology,双一流/985/211,辽宁,理工,435.7,31.3,https://www.shanghairanking.cn/_uni/logo/54289554.png
29,华东师范大学,East China Normal University,双一流/985/211,上海,师范,431.2,32.6,https://www.shanghairanking.cn/_uni/logo/47430452.png
30,华南理工大学,South China University of Technology,双一流/985/211,广东,理工,430.6,30.4,https://www.shanghairanking.cn/_uni/logo/69348939.png
31,电子科技大学,University of Electronic Science and Technology of China,双一流/985/211,四川,理工,426.1,30.6,https://www.shanghairanking.cn/_uni/logo/55538407.png
32,湖南大学,Hunan University,双一流/985/211,湖南,综合,422.2,30.8,https://www.shanghairanking.cn/_uni/logo/79015808.png
33,重庆大学,Chongqing University,双一流/985/211,重庆,综合,407.5,30.6,https://www.shanghairanking.cn/_uni/logo/79822387.png
34,南方科技大学,Southern University of Science and Technology,双一流,广东,综合,396.4,32.6,https://www.shanghairanking.cn/_uni/logo/22950445.png
35,北京科技大学,University of Science and Technology Beijing,双一流/211,北京,理工,384.8,33.1,https://www.shanghairanking.cn/_uni/logo/96310183.png
36,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,双一流/211,江苏,理工,380.1,30.2,https://www.shanghairanking.cn/_uni/logo-jpg/4506696400.jpg
37,南京理工大学,Nanjing University of Science and Technology,双一流/211,江苏,理工,373.4,31.6,https://www.shanghairanking.cn/_uni/logo/38974419.png
38,兰州大学,Lanzhou University,双一流/985/211,甘肃,综合,367.6,31.8,https://www.shanghairanking.cn/_uni/logo/84317715.png
39,东北大学（沈阳）,Northeastern University (Shenyang),双一流/985/211,辽宁,理工,366.8,32.2,https://www.shanghairanking.cn/_uni/logo/79513869.png
40,西安电子科技大学,Xidian University,双一流/211,陕西,理工,355.4,30.8,https://www.shanghairanking.cn/_uni/logo/88267454.png
41,北京交通大学,Beijing jiaotong University,双一流/211,北京,理工,352.1,31.4,https://www.shanghairanking.cn/_uni/logo/60987143.png
42,上海科技大学,ShanghaiTech University,双一流,上海,综合,348.5,37.4,https://www.shanghairanking.cn/_uni/logo/46886554.png
43,苏州大学,Soochow University,双一流/211,江苏,综合,347.0,29.5,https://www.shanghairanking.cn/_uni/logo/44374737.png
44,华东理工大学,East China University of Science and Technology,双一流/211,上海,理工,341.5,30.9,https://www.shanghairanking.cn/_uni/logo/93042584.png
45,哈尔滨工程大学,Harbin Engineering University,双一流/211,黑龙江,理工,340.9,32.4,https://www.shanghairanking.cn/_uni/logo/86980791.png
46,东北师范大学,Northeast Normal University,双一流/211,吉林,师范,340.8,31.6,https://www.shanghairanking.cn/_uni/logo/12611652.png
47,华中农业大学,Huazhong Agricultural University,双一流/211,湖北,农业,338.1,30.3,https://www.shanghairanking.cn/_uni/logo/20950268.png
